plant code;mitsuba instance id;actual model height (meters); radius (meters)
Abies Alba;AbiesAlba_0_4m;0.650106;0.22962100000000002
Abies Alba;AbiesAlba_0_9m;1.189344;0.68628
Abies Alba;AbiesAlba_3_1m;3.346901;1.5148
Abies Alba;AbiesAlba_6_3m;6.584647;2.0142275
Abies Alba;AbiesAlba_12_5m;12.792594;2.2027609999999997
Abies Alba;AbiesAlba_1_7m;1.998613;1.0905885
Abies Alba;AbiesAlba_24_9m;25.205095;1.895587
Abies Alba;AbiesAlba_6_3m-o;6.585245;2.6311405
Abies Alba;AbiesAlba_12_5m-o;12.791883;4.717063
Abies Alba;AbiesAlba_24_9m-o;25.205843;6.434775
Acer Pseudoplatanus;AcerPseudoplatanus_0_4m;0.623932;0.1982705
Acer Pseudoplatanus;AcerPseudoplatanus_1_0m;1.045289;0.4927275
Acer Pseudoplatanus;AcerPseudoplatanus_1_9m;1.837222;0.9402975
Acer Pseudoplatanus;AcerPseudoplatanus_3_8m;3.49453;1.9696795
Acer Pseudoplatanus;AcerPseudoplatanus_7_6m;7.536102;2.5891865000000003
Acer Pseudoplatanus;AcerPseudoplatanus_14_1m;14.210468;3.8299044999999996
Acer Pseudoplatanus;AcerPseudoplatanus_25_3m;23.848789;4.305143
Acer Pseudoplatanus;AcerPseudoplatanus_7_4m-o;7.704374;3.4041045
Acer Pseudoplatanus;AcerPseudoplatanus_14_0m-o;14.202667;4.8707875
Acer Pseudoplatanus;AcerPseudoplatanus_24_9m-o;25.121902;4.089706
Betula Pendula;BetulaPendula_0_6m;0.991213;0.0346985
Betula Pendula;BetulaPendula_1_1m;1.467076;0.3058615
Betula Pendula;BetulaPendula_1_6m;1.944138;0.4296755
Betula Pendula;BetulaPendula_6_3m;6.705235;2.4592525
Betula Pendula;BetulaPendula_12_5m;12.91354;3.075857
Betula Pendula;BetulaPendula_24_9m;25.304447;4.375871500000001
Betula Pendula;BetulaPendula_3_0m;3.373262;0.9731555000000001
Betula Pendula;BetulaPendula_6_3m-o;6.706326;2.061386
Betula Pendula;BetulaPendula_12_5m-o;12.894845;4.708175
Betula Pendula;BetulaPendula_24_9m-o;25.307079;11.441722500000001
Fagus Sylvatica;FagusSylvatica_0_7m;0.792377;0.43169599999999997
Fagus Sylvatica;FagusSylvatica_1_3m;1.319165;0.656892
Fagus Sylvatica;FagusSylvatica_2_5m;2.820177;1.3341675
Fagus Sylvatica;FagusSylvatica_4_9m;4.724052;2.33403
Fagus Sylvatica;FagusSylvatica_9_8m;8.830544;3.959169
Fagus Sylvatica;FagusSylvatica_19_1m;17.919285;4.0450675
Fagus Sylvatica;FagusSylvatica_28_9m;29.252024;4.3759485
Fagus Sylvatica;FagusSylvatica_38_4m;34.113136;4.298444
